Halu Cibeber Yellow Honey 250gr (Biji Kopi Arabica),Biji Kopi,"Region : Gunung Halu, West Bandung, West Java
Varietal : sigararutang
Process : honey processed
Altitude : 1200 - 1500 Masl
Netto :250gr

Notes : chocolate ,dried fruit,orange,raisin,molasses
*Roast Date 25/03/2021


=====================================================================
KAMI MENJUAL KOPI DALAM BENTUK BIJI
=====================================================================
JIKA ADA PERMINTAAN GILING KOPI, MOHON UNTUK MENULISKAN
PADA KOLOM KETERANGAN SESUAI KEPERLUAN

Grind size guide:
Espresso - Giling Sangat Halus / Extra Fine grind
Mokka Pot, Tubruk Halus ,Vietnam Drip - Fine grind
Aeropress -Medium Fine Grind
Pour Over (Kalita, V60, dll.) ,Cold Brew- Giling Medium / Medium Grind
French Press, Cupping, Tubruk Kasar - Giling Kasar / Coarse grind
(REFERENSI GRIND SIZE ADA DI GAMBAR KE 2)

=====================================================================
=====================================================================
SPECIALTY COFFEE ROASTER SINCE 2015
CRAFT-FULLY ROASTED IN JAKARTA
=====================================================================
=====================================================================
PENGIRIMAN SETIAP HARI SENIN-JUMAT JAM 09.00 -17.00 WIB & SABTU 09.00-14.00 WIB
*Untuk GOJEK/GRAB SAMEDAY batas 14.00
*Untuk GOJEK/GRAB INSTANT batas 16.00
Pengiriman reguler JNE ,SICEPAT batas jam 17.00 dikirim hari yang sama!
MINGGU: TIDAK ADA PENGIRIMAN
=====================================================================
Happy Shopping ;-)"
Kopi Robusta Temanggung 1 Kg Biji Kopi Atau Bubuk Kopi,Kopi Bubuk,"Robusta 71

Kopi robusta temanggung grade 1 dengan teknik roasting yang tepat menghasilkan karakter citarasa yang clean.
Jenis : Robusta Grade 1
Origin : Temanggung
Variety : Tugusari
Altitude : 500 - 700 mdpl
Proses : Fullwash
Level Roasting : Medium To Dark
Notes : Chocolate, Nutty, Low acidity

Pilihan bentuk kopi
1. Biji
2. Giling kasar / coarse untuk French press, cold brew, chemex
3. Giling sedang / medium untuk pour over (V60, Kalita), Vietnam drip, syphon, aeropress
4. Giling halus / fine untuk espresso, Mokka Pot, Tubruk

Tuliskan pilihan permintaan bentuk kopi pada saat pemesanan

Tersedia kemasan 100 gr, 200 gr, 500 gr, 1000 gr"
Arabica Green Beans | Tanjung Tropical Orange (Fullwash),Biji Kopi,"Biji kopi Gunung Tanjung Sukabumi
Elevation: 1200 MDPL
Variety: Lini S 795 - Ateng
Origin: Gunung Tanjung Sukabumi
Defect: <5%
Moisture: 12%
Processing Method: Full-Washed
Grade: Specialty
Filter Notes: Sweet Orange Sensation, Brown Sugar, Jasmine aroma
Enjoy Our Coffee !
#BerdawatBiarHitam"
Kopi Susu Blend,Biji Kopi,"Note : Jika tidak ada catatan akan dikirimkan biji

Kopi Susu Blend

 

 

Untuk setiap bubuk kopi single origin yang dijual di Otten Coffee, semuanya digiling dengan memakai mesin penggiling Mahlkonig EK43. Mesin ini memiliki conical burr yang terkenal dengan hasil gilingan yang presisi di setiap partikel gilingannya. Karenanya, kini para pelanggan setia Otten Coffee bisa memilih berbagai rentang pilihan level gilingan sesuai dengan kebutuhan masing-masing, mulai dari super fine hingga coarse.

 

 

Jika ingin membeli dalam bentuk bubuk, berikut adalah Rekomendasi Grind Size (Harap tulis di bagian ""Catatan untuk Penjual"" sebelum check-out pesanan):

- Super fine: Turkish coffee

- Fine: Espresso

- Medium fine: Mokapot

- Medium: Pour over (V60, Chemex, Kalita) syphon, Aeropress, Vietnam Drip

- Medium coarse: French press

- Coarse: Cold drip, cold brew

 

 

Jika tidak ditulis di ""Catatan untuk Penjual"", maka akan dikirim dalam bentuk biji.

 

 

Origin :

Region : Atu Lintang

Altitude : 1500m

Varietas : Ateng / Catimor

Processing Method : Semi Washed

Roasting Profile : Medium Dark Roast

Cupping Notes : Dark Chocolate, Umami, Roasted Nut

Nett Weight : 500g

 "
Cannon Blend 250gr,Biji Kopi,"Komposisi :
Bali x Dolok Sanggul


Notes : cocoa, roasted peanut, caramel
Netto :250gr

*Medium Roast Level
* RESTING TIME 7-14 HARI SETELAH TANGGAL ROASTING

Untuk kemasan 1Kg silahkan klik link dibawah ini⬇️⬇️⬇️


=====================================================================
KAMI MENJUAL KOPI DALAM BENTUK BIJI
=====================================================================
JIKA ADA PERMINTAAN GILING KOPI, MOHON UNTUK MENULISKAN
PADA KOLOM KETERANGAN SESUAI KEPERLUAN

Grind size guide:
Espresso - Giling Sangat Halus / Extra Fine grind
Mokka Pot, Tubruk Halus ,Vietnam Drip - Fine grind
Aeropress -Medium Fine Grind
Pour Over (Kalita, V60, dll.) ,Cold Brew- Giling Medium / Medium Grind
French Press, Cupping, Tubruk Kasar - Giling Kasar / Coarse grind
(REFERENSI GRIND SIZE ADA DI GAMBAR KE 2)

=====================================================================
=====================================================================
SPECIALTY COFFEE ROASTER SINCE 2015
CRAFT-FULLY ROASTED IN JAKARTA
=====================================================================
=====================================================================
PENGIRIMAN SETIAP HARI SENIN-JUMAT JAM 09.00 -17.00 WIB & SABTU 09.00-14.00 WIB *Untuk GOJEK/GRAB SAMEDAY batas 14.00
*Untuk GOJEK/GRAB INSTANT batas 16.00
Pengiriman reguler JNE ,SICEPAT batas jam 17.00 dikirim hari yang sama!
MINGGU: TIDAK ADA PENGIRIMAN
=====================================================================
Happy Shopping ;-)"
Tanamera Coffee Drip Bag / Filter Bag: Aceh Gayo - 5 Drip Bag,Kopi Kemasan,"ACEH GAYO
Origins Aceh, Altitude 1400m
Process : Washed
Tropical fruits, green apple and caramel, lead into bright acidity
Acidity 4, Body 3, Sweetness 4
Medium Roast

CARA MEMBUAT KOPI
1.Sobek kemasan searah garis, buka dan kaitkan drip bag ke sisi gelas.
2.Masukkan 20ml air panas ke dalam drip bag, tunggu selama 30 detik sampai endapan kopi mengembang, lalu perlahan tambahkan 150ml air panas. Suhu air panas yang disarankan adalah 89 - 93 derajat Celcius.
3.Diamkan selama 3 menit lalu buang drip bag. Tambahkan susu jika diperlukan.

KOMPOSISI
100% Bubuk Kopi Indonesia

BERAT BERSIH
10 Drip bag 80g (10 x 8g)
5 Drip bag 40g (5x 8g)

COFFEE DRIP
Sekarang Anda dapat menikmati Tanamera Coffee di rumah, di kantor atau pada saat bepergian hanya dengan menambahkan air panas. Berasal dari biji kopi premium yang diperoleh langsung dari Petani Indonesia dan setelah melewati proses fresh roast, Drip Bag Tanamera Coffee dikemas secara khusus sehingga kesegarannya selalu terjaga. Selamat menikmati perpaduan aroma, kelembutan crema serta rasa istimewa dari Kopi Indonesia!

Tersedia dalam beberapa variant rasa; Espresso Blend, Aceh Gayo, Bali Kintamani, Rasuna Natural, Kerinci Natural dan Toraja Sapan.

TANAMERA COFFEE
Award Winning International Coffee"
Kopi tubruk Arabika blend special Tadi Pagi Coffee Roastery,Kopi Bubuk,"Kopi bubuk (sudah digiling) dari tadi pagi Coffee Roastery

Rasanya mantap, fresh baru di roasting. untuk di seduh secara tradisional (tubruk) atau di espresso
tambah gula atau tanpa gula sesuai selera anda

di kemas dalam kemasan alumunium foil
sehingga terjaga rasa dan aroma

berat bersih 200 gram
jenis ARABIKA
Grade : KOMERSIL/ ASALAN/ LOW
expired +- 1 tahun
grind size : medium to fine

Kopi Tubruk adalah minuman kopi khas Indonesia yang dibuat dengan menuangkan air panas ke dalam gelas atau teko yang sudah diisi bubuk kopi. Bisa dengan ditambahkan gula, bisa juga tanpa gula."
Kopi Arabika Tanamera Coffee Espresso Blend 250 Gr - Fine Grind,Kopi Kemasan,"ESPRESSO BLEND
Palm sugar, cacao lime acidity, dry date, hint of floral
Acidity 3, Body 4, Sweetness 4
Medium Roast

COFFEE BEANS
Kopi kami adalah hasil seleksi yang disangrai oleh master roaster pemenang penghargaan internasional. Kopi kami berasal dari berbagai daerah di Indonesia, berkualitas tinggi dan kaya akan rasa dari Nusantara. Sebagai ‘Champion International Roaster’ di Australian International Coffee Awards tahun 2015 dan 2016, kami bangga untuk dapat memproduksi kopi eksklusif yang berkelas dunia dari daerah penghasil kopi di Indonesia. Coba dan rasakan kenikmatan artisan kopi Indonesia.

TANAMERA COFFEE
Award Winning International Coffee"
TUKU - TUKUCUR Kopi Susu Tetangga 1 Liter (FS),Kopi Kemasan,"TUKUCUR adalah produk minuman Toko Kopi Tuku dalam botol 1 Liter yang dapat dinikmati bersama keluarga atau teman dekat. Dibuat dengan biji kopi full arabica, Tetangga Blend.

Melihat #tetanggatuku yang punya kebiasaan nyetok kopi untuk akhir pekan, kali ini Toko Kopi Tuku menyediakan produk dalam ukuran besar, TUKUCUR.


Saat ini TUKUCUR Es Kopi Susu Tetangga juga bisa didapatkan di outlet Toko Kopi Tuku Bintaro Sektor 1, BSD, Cipete, dan SPBU Cibubur.



[Pengiriman]
• TUKUCUR hanya dapat dikirim melalui kurir Instant atau Same day (HANYA GOJEK ATAU GRAB)
• Pesanan tidak dapat kami proses apabila menggunakan kurir lain.


[Cara Penyimpanan]
• Harap menyimpan TUKUCUR di dalam kulkas dengan keadaan tertutup rapat
• TUKUCUR dianjurkan habis dalam 3 hari
• Jumlah sajian TUKUCUR adalah 5 gelas @ 360 ml


[Saran Penyajian]
• Isi gelas dengan es batu
• Tuangkan sebanyak 200 ml atau sesuai selera"
Tropicana Slim Cafe Latte (10 Sachet) - Sugar FREE,Kopi Kemasan,"Tropicana Slim Cafe Latte terbuat dari biji kopi pilihan yang dikombinasikan dengan gula rendah kalori dan krimer yang pastinya membuat minum kopi jadi suatu ritual nikmat tanpa waswas. Tidak percaya? Segera seduh dan nikmati secangkir Cafe Latte ala Tropicana Slim. Sugar free, less calorie, for your sinful indulgence

Mengapa Tropicana Slim Cafe Latte?
- Rasa kopi yang mantap.
- Bebas gula, untuk kenikmatan tanpa rasa bersalah.
- Tinggi kalsium, untuk tulang sehat dan kuat.
- Rendah kalori, baik untuk cegah kegemukan dan diabetes.
- Satu-satunya kopi 3 in 1 yang bebas gula dan aman untuk diabetesi.
- Dalam kemasan sachet yang praktis.

Petunjuk Pemakaian :
Konsumsi Tropicana Slim Cafe Latte sebagai alternatif pilihan kopi tanpa asupan gula berlebih. Tropicana Slim Caf Latte aman dikonsumsi setiap hari. Diskusikan pilihan produk yang tepat untuk Anda dengan tim customer relation kami di 021-460-5778 atau 0811-723-7777"
